№,Name,Info,Img
#,name,info,img
1,"В России могут усложнить ввоз электромобилей, растаможенных в Кыргызстане","С 1 апреля 2024 года россиянам может быть запрещено покупать автомобили, растаможенные в Кыргызстане и Казахстане, что приведет к значительному увеличению цен на импортируемые автомобили. Ожидается, что правительство введет механизм, согласно которому будет начисляться разница в таможенных сборах при ввозе автомобилей в Россию, либо полностью запретит ввоз авто, растаможенных по льготной ставке. Об этом сообщают эксперты из Pronline.Это решение особенно затронет электромобили и гибриды, для которых ставка в Кыргызстане составляет 15,25% от стоимости, в то время как в России она значительно выше. Например, стоимость моделей Zeekr 001 и Li 7 может увеличиться на 1,5 млн рублей. Ситуация аналогична и для автомобилей с ДВС, например, для Geely Monjaro разница в таможенных сборах между РФ и Кыргызстаном составит около 700 тысяч рублей. Учет введенного утильсбора в 306 тысяч рублей сделает ввоз авто через эти страны неактуальным.По теме:Китай намерен нарастить поставки подержанных авто в Центральную Азию и РоссиюХотя точно не известно, будут ли новые правила введены с 1 апреля, председатель правительства РФ Михаил Мишустин уже провел переговоры с коллегами из КР и Казахстана 1-2 февраля. Было поручено профильным ведомствам подготовить необходимые меры к указанной дате, что может говорить о немедленном введении изменений или о возможном объявлении переходного периода.По словам директора маркетплейса CarClick Сергея Пиголкина, если предложение будет принято, автомобильный рынок России претерпит значительные изменения. Ввоз автомобилей через страны ЕАЭС станет невыгодным, и китайские автомобили, предназначенные для внутреннего рынка и ввозимые через параллельный импорт, исчезнут с рынка. Сейчас, по его словам, самое время приобрести машину мечты, пока такая возможность еще существует.",
#,name,info,img
1,Суд отпустил журналиста Эрмека Аттокурова под домашний арест,"Свердловский районный суд Бишкека отправил журналиста Эрмека Аттокурова под домашний арест. Эту информацию подтвердили в пресс-службе Бишкекского горсуда и сообщили, что об этом ходатайствовал следователь ГУВД Чуйской области.Журналисту запретили выезжать из Бишкека и Сокулукского района до 28 февраля. 






                    Эрмек Аттокуров. Фото из соцсетей.                


Напомним, 9 февраля ГУВД Чуйской области сообщило о задержании журналиста Эрмека Аттокурова. По информации милиции, его подозревают в вымогательстве 1 млн сомов у должностного лица из правоохранительных органов. Было возбуждено уголовное дело по статье ""Вымогательство"". Отмечалось, что Аттокуров был задержан при получении 100 тысяч сомов.По теме:Подозреваемого в вымогательстве миллиона сомов у сотрудника милиции задержали с поличнымДо этого Аттокуров на своей странице в Facebook заявил, что милиция Чуйской области и Сокулукского района готовит против него провокацию. Во время рассмотрения меры пресечения Эрмек Аттокуров заявил, что не согласен с выдвинутым в его адрес обвинением.",
#,name,info,img
1,Сколько сэкономили горожане за счет безналичной оплаты в общественном транспорте?,"В 2024 году Бишкек перешел на безналичную оплату с повышением тарифа в общественном муниципальном транспорте.По теме:С 30 января проезд в бишкекском транспорте подорожает. Как и чем платить?По информации пресс-службы мэрии Бишкека, с 30 января по 8 февраля пассажиры общественного транспорта совершили 443 000 платежей через QR-коды, из которых 403 350 транзакций – льготные, то есть с возвратом 50% оплаты для горожан (кешбэк). Также по акции (11 сомов) через мобильный кошелек сотового оператора – 70 481 транзакция.По данным мэрии, в денежном эквиваленте горожане сэкономили более 2,5 млн сомов.",
#,name,info,img
1,На Солнце произошла одна из сильнейших вспышек за последние пять лет,"На Солнце произошла одна из крупнейших за последние пять лет вспышек, но Землю она может не затронуть. Согласно графику на сайте лаборатории солнечной астрономии ИКИ РАН, вспышка, которой присвоили балл Х3.3, продлилась около 40 минут. Отмечается, что на Солнце фиксируются мощные потоки излучения из области вспышки, которые могут наблюдаться до двух-трех часов.В лаборатории уточнили, что влияние этого события на Землю практически исключено: вспышка произошла в области, находящейся за солнечным краем.По теме:Вспышка исключительной силы произошла на Солнце в новогоднюю ночь""По этой причине воздействие оказалось экранировано самим солнечным диском. Это достаточно редкое явления, которое в данном случае сыграло на пользу Земле"", - пояснили ученые.Эта вспышка стала второй по силе в нынешнем цикле. Первая произошла в новогоднюю ночь, 1 января 2024 года, ей присвоили балл X 5.0.Как отмечали специалисты, нарастающая частота таких явлений и рост их мощности говорят о постепенном приближении Солнца к пику активности, который, предположительно, может наступить уже в середине этого года. Согласно другим прогнозам, это произойдет в 2025-м.",
#,name,info,img
1,Россияне массово уезжают из Турции,"Россияне массово уезжают из Турции. Об этом пишет турецкое издание Söczü.По данным издания, только в Анталье количество иностранцев за последний год сократилось на 40 тысяч. Это произошло после роста арендной платы и цен на жилье.""Существует интенсивная иммиграция из Антальи в Дубай и Сербию из-за того, что разрешения на проживание не продлеваются, новые прибывшие не допускаются, а также из-за высокого роста цен на жилье и аренду"", - сообщает издание.По теме:""Лира пробудила недоброе"". СМИ пишут об отказе турецких банков работать с российскимиТакже на ситуацию повлияло ужесточение со стороны миграционной службы Турции. Иностранцам стали чаще отказывать в получении ВНЖ.Многие русские и украинцы живут в Анталье, которая наиболее предпочтительна для отдыха граждан стран СНГ. После российско-украинского военного конфликта, начавшегося в феврале 2022 года, произошла интенсивная иммиграция из двух стран.",
#,name,info,img
1,Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?,"Около 30 лет на территории Национального центра охраны материнства и детства стоит заброшенное здание. Его достроят на деньги благотворительного фонда и откроют там несколько отделений больницы. Об этом сообщили в пресс-центре Минздрава.  
slide 3  of 2






                                Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                             







                                Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                             








                                Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                             








                                Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                             








                                Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                             







                                Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                             




1

                         из                     
2





Там пояснили, что министр здравоохранения Алымкадыр Бейшеналиев совместно с учредителем и председателем правления кувейтского благотворительного фона ""Ас-Сафа"" Мухаммадом Абдурахман Аль-Шая осмотрели трехэтажное здание площадью 11 268 кв. метров. Оно стоит недостроенным с 1995 года.По теме:В джальской детской больнице планируют открыть отделение трансплантации костного мозгаГлава Минздрава сказал, что, если здание достроить, там можно будет открыть центр гемодиализа, а также разместить отделения эндокринологии, нефрологии и другие структуры. 






                    Стоявшее около 30 лет заброшенным здание на территории больницы достроят. Что там будет?                 


Мухаммад Абдурахман Аль-Шая проинформировал, что их фонд профинансирует строительные работы и оснащение центра современным оборудованием. По теме:Первая бесплатная пересадка почки. Пациентку и донора выписали из больницы",
#,name,info,img
1,"Авария на ТЭЦ. Пострадавший рассказал, что работал на двух работах, чтобы прокормить семью","Один из пострадавших во время аварии на ТЭЦ рассказал главе кабмина Акылбеку Жапарову, что работал на двух работах, чтобы прокормить семью.По теме:Авария на ТЭЦ. Акылбек Жапаров посетил в турецкой больнице пострадавшихПо словам мужчины, он единственный сын в семье и заботится о родителях-пенсионерах. У него есть сын и дочь, и они с женой ждут третьего ребенка. Глава кабмина пообещал оказать всю необходимую помощь пострадавшему и присмотреть за его родными.***В ночь с 1 на 2 февраля на ТЭЦ Бишкека произошла авария. Пятеро человек пострадали. Все школы и детские сады со 2 по 6 февраля  были переведены на онлайн-обучение. Была отключена горячая вода для поддержания работы ТЭЦ и тепловых сетей. По факту аварии на ТЭЦ прокуратура Бишкека возбудила дело. Расследование поручено ГКНБ.К 5 февраля отопление в домах бишкекчан восстановлено.",
#,name,info,img
1,В джальской детской больнице планируют открыть отделение трансплантации костного мозга,"На базе Национального центра охраны материнства и детства откроют отделение трансплантации костного мозга. Об этом заявили в пресс-центре Минздрава. Сообщается, что министр здравоохранения Алымкадыр Бейшеналиев встретился с учредителем и председателем правления кувейтского благотворительного фонда ""Ас-Сафа"" шейхом Мухаммадом Абдурахман Аль-Шая. Они посетили отделения детской онкологии и онкогематологии больницы, построенные благодаря фонду. По теме:В Кыргызстане хотят открыть центр трансплантологии. Подробности от главы МинздраваСтороны договорились о дальнейшем сотрудничестве. Министр поручил руководству центра начать работы по организации отделения трансплантации костного мозга в НЦОМиД. Шейх Мухаммад Абдурахман Аль-Шая поддержал предложение министра и обещал выделить $150 тыс. на приобретение медицинского оборудования для сбора стволовых клеток. Процедура является ключевой в проведении пересадки костного мозга. 
slide 2  of 3






                                В джальской детской больнице планируют открыть отделение трансплантации костного мозга.                             








                                В джальской детской больнице планируют открыть отделение трансплантации костного мозга.                             








                                В джальской детской больнице планируют открыть отделение трансплантации костного мозга.                             








                                В джальской детской больнице планируют открыть отделение трансплантации костного мозга.                             








                                В джальской детской больнице планируют открыть отделение трансплантации костного мозга.                             




1

                         из                     
3





Алымкадыр Бейшеналиев провел встречу с детскими онкологами и лаборантами, дал поручение сформировать бригаду из десяти человек для отправки за рубеж на обучение по трансплантации костного мозга.",
#,name,info,img
1,"Трамп рассказал, как угрожал странам НАТО, которые недостаточно платят","Бывший президент США Дональд Трамп заявил, что угрожал ""поощрять Россию"" атаковать те страны НАТО, которые не выполняют свои финансовые обязательства перед альянсом. Об этом политик рассказал в ходе предвыборного митинга в городе Конуэй, Южная Каролина.""НАТО было развалено, пока не пришел я. Я сказал: ""Все будут платить"". Они сказали: ""Ну, если мы не заплатим, вы все равно будете нас защищать?"" Я сказал: ""Точно нет"". Они не могли поверить в мой ответ"", - цитирует CNN заявление Трампа.По словам бывшего американского лидера, однажды ""один из президентов большой страны"" спросил его, будут ли США по-прежнему защищать их от вторжения России, даже если они ""не заплатят"".""Нет, я бы не стал вас защищать. На самом деле я бы поощрял их [Россию] делать все, что они, черт возьми, хотят. Ты должен заплатить. Ты должен платить по счетам"", - сказал Трамп.По теме:Байден не видит подходящей альтернативы своей кандидатуре на пост президентаВ Белом доме уже отреагировали на высказывания Дональда Трампа, назвав их ""ужасными и безумными"", напомнив об усилиях действующего президента США Джо Байдена по укреплению НАТО.""Президент Байден восстановил наши союзы и сделал нас сильнее, потому что он знает, что первая обязанность каждого главнокомандующего - обеспечить безопасность американского народа и придерживаться ценностей, которые нас объединяют… Поощрение вторжений кровавых режимов на наших ближайших союзников ужасно и безумно - и оно ставит под угрозу американскую национальную безопасность, глобальную стабильность и нашу внутреннюю экономику"", - заявил представитель администрации Байдена Эндрю Бейтс.",
#,name,info,img
1,Авария на ТЭЦ. Акылбек Жапаров посетил в турецкой больнице пострадавших,"Глава кабмина Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Об этом сообщили в медиаштабе по ситуации на ТЭЦ.Отмечается, что все пострадавшие находятся на лечении в государственной научно-исследовательской больнице в Адане. 
slide 2  of 6






                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             








                                Акылбек Жапаров навестил четырех кыргызстанцев, пострадавших в результате нештатной ситуации на ТЭЦ и крушения военного вертолета. Фото: медиаштаб.                             




1

                         из                     
6





***В ночь с 1 на 2 февраля на ТЭЦ Бишкека произошла авария. Пятеро человек пострадали. Все школы и детские сады со 2 по 6 февраля  были переведены на онлайн-обучение. Была отключена горячая вода для поддержания работы ТЭЦ и тепловых сетей. По факту аварии на ТЭЦ прокуратура Бишкека возбудила дело. Расследование поручено ГКНБ.К 5 февраля отопление в домах бишкекчан восстановлено.",
#,name,info,img
1,"Что произошло в Украине за последние сутки, 11 февраля","Главное о событиях в Украине на 11 февраля - в подборке Kaktus.media.В ночь на субботу российские войска трижды атаковали Одесскую область беспилотниками. В результате пострадали четыре человека. Один из пострадавших находится в тяжелом состоянии.Генеральный секретарь НАТО Йенс Столтенберг призвал Европу увеличить производство оружия, чтобы поддержать Украину и предотвратить ""потенциально десятилетия конфронтации"" с Москвой, в интервью, опубликованном немецкими СМИ в субботу.Как сообщают российские новостные агентства, в ответ на решение украинских властей расторгнуть договор аренды с посольством России в Киеве Москва расторгла аналогичный договор с посольством Украины.Британская военная разведка сообщила, что 31 января при украинском ударе по аэродрому Бельбек в Крыму был выведен из строя радар, игравший важную роль в управлении российской авиацией.Генеральный инспектор бундесвера генерал-лейтенант Карстен Бройер заявил, что Вооруженные силы Германии должны быть готовы к войне через пять лет. Такое мнение он высказал в интервью изданию Welt am Sonntag.Президент Украины Владимир Зеленский назначил Вадима Сухаревского и Андрея Лебеденко заместителями нового главкома ВСУ Александра Сырского. Об этом Зеленский сообщил во время очередного обращения к гражданам страны.Дональд Трамп на посту президента США угрожал союзникам по НАТО, что будет поощрять Россию ""делать все, что ей вздумается"" со странами, которые не выполняют финансовые обязательства перед альянсом.",
#,name,info,img
1,Президент Венгрии объявила об отставке на фоне скандала с укрывательством педофилов,"Президент Венгрии Каталин Новак объявила об отставке после критики из-за ее решения помиловать осужденного по делу о сексуализированном насилии в детском доме, сообщает Reuters.""Я совершила ошибку. Сегодня последний день, когда я обращаюсь к вам как президент"", - цитирует выступление Новак в эфире венгерского телевидения Reuters. 






                    Каталин Новак.                


Венгерские оппозиционные партии потребовали отставки Новак после того, как она приняла решение помиловать заместителя директора детского дома, осужденного за сокрытие фактов сексуализированного насилия в заведении.По теме:В Европарламенте собрали подписи за лишение Венгрии голоса в Совете ЕСО решении Новак помиловать около 20 человек было известно еще в апреле 2023 года, перед визитом папы Римского в страну. Однако в начале февраля венгерское издание 444.hu сообщило со ссылкой на судебные документы, что в списке имен на помилование есть заместитель директора детского дома в городе Бичке по имени К. Эндре, который помог своему начальнику скрыть несколько случаев сексуализированного насилия. Кроме того, он написал одному ребенку текст отказа от показаний, который тот должен был озвучить.Всего о насилии в период с 2004 по 2016 год рассказали не менее десяти мальчиков, воспитывавшихся в этом детском доме. Суд приговорил заместителя директора детского дома к трем годам и четырем месяцам лишения свободы.Решение Новак о помиловании вызвало многочисленные протесты нескольких венгерских оппозиционных партий. В пятницу, 9 февраля, в Будапеште на акцию протеста с требованием отставки Новак собралось более тысячи человек. Некоторые представители оппозиции также призвали правящую партию Орбана ФИДЕС отозвать своего депутата и бывшего министра юстиции Юдит Варгу, которая подписала соглашение о помиловании. Сама Новак говорила, что при ее президентстве ""не было и не будет помилования педофилов"".Каталин Новак вступила в должность президента в марте 2022 года и стала первой женщиной в истории страны на этом посту.Издание Politico называет Новак близким союзником премьер-министра Виктора Орбана и бывшим ""министром без портфеля"" (государственный секретарь) по делам семьи и молодежи его правительства.",
#,name,info,img
1,На кыргызско-китайской границе вновь произошло землетрясение,"Утром 11 февраля на кыргызско-китайской границе произошло землетрясение силой около 4 баллов. По данным Института сейсмологии Национальной академии наук Кыргызстана, оно зафиксировано в 09:03.Очаг землетрясения располагался на территории Китая, в 145 км к юго-востоку от Каракола.В населенных пунктах Кыргызстана интенсивность землетрясения не ощущалась. 






                    Землетрясение на кыргызско-китайской границе. Скрин с сайта Института сейсмологии.                


Отметим, что это один из афтершоков, которые не утихают после основного землетрясения, произошедшего 23 января. Они могут продолжаться от пары часов до пары недель.",
#,name,info,img
1,У волков из чернобыльской зоны развилась невосприимчивость к раку,"Обитающие в зоне отчуждения Чернобыльской АЭС волки могут помочь людям в борьбе с онкологическими заболеваниями. Исследовательница из США выяснила, что под влиянием радиации эти животные приобрели устойчивость к раку, рассказывает Niked Science.C 1986 года, когда случилась авария на Чернобыльской атомной электростанции, в этой области люди не живут. Здесь остались только животные. Несмотря на радиационное заражение, эта территория площадью примерно 2 600 квадратных километров изобилует различными животными - как мелкими, так и более крупными вроде лосей, кабанов и волков. 






                    Волк в зоне отчуждения Чернобыльской АЭС. Фото: X / CaraNLove.                


Таким образом эта территория стала естественной лабораторией, где под влиянием повышенных доз радиации происходят многие эволюционные процессы. И этим не преминули воспользоваться ученые. Биологи и другие специалисты со всего мира неоднократно работали в Чернобыле, изучая реакцию различных видов и организмов в зоне отчуждения.Одним из таких исследователей стала биолог-эволюционист и экотоксиколог Кара Лав (Cara Love) из Принстонского университета (США). Предметом научных изысканий она выбрала чернобыльских волков.В 2014 году Лав с коллегами побывала в зоне отчуждения, чтобы установить на местных волков специальные GPS-ошейники с дозиметрами и взять у животных кровь на анализ. Эти ошейники позволили ученым в реальном времени отслеживать, где находятся чернобыльские волки и какому уровню радиации подвергаются. 






                    Биолог Кара Лав устанавливает на волка GPS-ошейник с дозиметром. Фото: Finger Lakes Community College.                


""Выяснилось, что на протяжении всей жизни они получают 11,28 миллирентгена, или 110 микрозивертов, в сутки. По словам ученых, это в шесть раз превышает предельный безопасный уровень, установленный для людей. Изучив биоматериалы волков, американская исследовательница обнаружила изменения, которые напоминали те, что встречаются у раковых больных, проходящих лучевую терапию"", - пишет издание.Ученые также выявили определенные участки генома волков, обеспечивающие устойчивость организма к факторам риска развития рака. Лав надеется, что это позволит открыть защитные мутации, которые повышают шансы выжить после рака.Результаты своей работы автор представила в докладе на ежегодной встрече Общества интегративной и сравнительной биологии (Society for Integrative and Comparative Biology, SICB), прошедшей в Сиэтле в январе 2024 года.Впрочем, ни к каким однозначным выводам по теме профилактики рака за счет умеренных ежедневных доз гамма-излучения ученые до сих пор не пришли. Открытия американской исследовательницы говорят лишь о необходимости дальнейших экспериментов и научных работ в этой области.",
#,name,info,img
